Document ID,Coder ID,CODE,CATEGORY,VALUE,new value,note
2,Saisrinivas,"As we got closer, it became apparent that it wasn't debris that was falling but, rather, it was people who were jumping to their deaths to escape being burned alive.",event,Debris Falling,,
2,Saisrinivas,I was very fortunate in that I was able to survive both collapses.,emotion,Relief,,
2,Saisrinivas,"After the second tower collapsed, there was an eerie silence that pervaded the smoking ruins and the rest of lower Manhattan",event,Smoking Ruins,,
2,Saisrinivas,"As there was no public transportation available that day, she was walking home to Riverdale with a friend. She called me to see if I had survived the collapse and told me where she was. My driver and I immediately went across town to meet her and transport her to safety.",value,Checking in on loved ones,,
2,Saisrinivas,"As the sun was setting that day, we regrouped all of my officers on the West Side Highway and took a head count to be sure that we had everyone accounted for.",value,Making sure everyone was safe at work place,,
2,Saisrinivas,"It wasn't until the next day that I learned that one of my sergeants, Sgt. Timmy Roy, had been in court that day and had run to the towers to help out.",action,Tried to help,,
11,Saisrinivas,"I continued to Rosati Hall and as I was about to enter, a student came running out yelling a second airplane had hit. I exclaimed ""Oh, my God, it's deliberate!""",thought,Deliberate,,
9,Saisrinivas,"I also remember the incredible sense of solidarity among New Yorkers after 9/11. I mean, I’ve lived in N.Y. my entire life, and I swear to god, I have never seen anyone—let alone folks from New York—be so courteous to one another.",emotion,Sense of togetherness,,
8,Saisrinivas,"One of my students lost her husband, a French national. With grace and generosity, she created a small scholarship for Chinese, American, and French students: Jerome Lohenz scholarship.",action,Gratitude,,
8,Saisrinivas,"That night, New Yorkers poured out in the streets, all transportation shut down ",event,Everything Shutting down due to the attacks,,
8,Saisrinivas,"Manhattan desperately trying to reach home, endless sirens and ambulances rushing to the scene in the desperate hope of recovering or locating survivors",value,Trying to locate survivors,,
6,Saisrinivas,"My own life was affected in small ways that I could not have anticipated. In 2013, for example, I declined a consulting opportunity because the office I would have been working in was on the 50th floor of a building in Lower Manhattan.",thought,Thought process clouded because of fear,,
